Date,Supplier,Category,Subcategory,Plant,SKU,Quantity,Unit Price,Spend,Currency,Contract Status,Payment Terms
2025-02-01,PackCo A,Packaging,Corrugated,Sao Paulo,BOX-010,2539,3.86,9800.54,BRL,No Contract,30
2025-02-01,PackCo A,Packaging,Corrugated,Joinville,BOX-006,791,5.19,4105.29,BRL,Active,30
2025-02-01,SulCaixas,Packaging,Corrugated,Sao Paulo,BOX-012,264,4.73,1248.72,BRL,Active,90
2025-02-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-012,1196,4.4,5262.4,BRL,No Contract,60
2025-02-01,CorrugaMax,Packaging,Corrugated,Joinville,BOX-019,1624,5.01,8136.24,BRL,Expired,60
2025-02-01,CorrugaMax,Packaging,Corrugated,Sao Paulo,BOX-003,2270,3.97,9011.9,BRL,Active,60
2025-02-01,BoxBrasil,Packaging,Corrugated,Sao Paulo,BOX-010,680,3.79,2577.2,BRL,Active,45
2025-02-01,CorrugaMax,Packaging,Corrugated,Sao Paulo,BOX-019,1665,4.72,7858.8,BRL,Active,45
2025-02-01,PackCo A,Packaging,Corrugated,Joinville,BOX-011,2212,4.5,9954.0,BRL,Active,45
2025-02-01,EcoPack,Packaging,Corrugated,Campinas,BOX-001,2848,3.52,10024.96,BRL,Active,45
2025-02-01,AlphaBox,Packaging,Corrugated,Campinas,BOX-017,2750,4.44,12210.0,BRL,No Contract,45
2025-02-01,PrimePack,Packaging,Corrugated,Joinville,BOX-010,1439,3.96,5698.44,BRL,Active,60
2025-02-01,PrimePack,Packaging,Corrugated,Campinas,BOX-002,2466,3.65,9000.9,BRL,Active,30
2025-02-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-012,510,4.6,2346.0,BRL,Active,60
2025-02-01,LocalFlex,Packaging,Corrugated,Campinas,BOX-013,2450,5.74,14063.0,BRL,Active,60
2025-02-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-016,885,3.43,3035.55,BRL,Active,60
2025-02-01,SulCaixas,Packaging,Corrugated,Joinville,BOX-009,622,3.78,2351.16,BRL,No Contract,90
2025-02-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-001,1539,3.16,4863.24,BRL,Active,30
2025-02-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-007,2410,2.71,6531.1,BRL,Active,45
2025-02-01,PackCo A,Packaging,Corrugated,Sao Paulo,BOX-016,348,3.49,1214.52,BRL,Active,60
2025-02-01,PackCo A,Packaging,Corrugated,Campinas,BOX-008,1466,3.12,4573.92,BRL,Active,60
2025-02-01,PrimePack,Packaging,Corrugated,Campinas,BOX-014,2176,2.81,6114.56,BRL,Active,60
2025-02-01,SulCaixas,Packaging,Corrugated,Curitiba,BOX-012,1950,4.29,8365.5,BRL,Active,30
2025-02-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-019,363,4.56,1655.28,BRL,Active,30
2025-03-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-011,2080,3.87,8049.6,BRL,Active,30
2025-03-01,EcoPack,Packaging,Corrugated,Campinas,BOX-011,288,4.56,1313.28,BRL,Active,60
2025-03-01,EcoPack,Packaging,Corrugated,Joinville,BOX-013,249,5.44,1354.56,BRL,Active,45
2025-03-01,AlphaBox,Packaging,Corrugated,Campinas,BOX-009,1823,3.99,7273.77,BRL,Active,30
2025-03-01,PackCo A,Packaging,Corrugated,Campinas,BOX-018,1684,4.22,7106.48,BRL,Active,30
2025-03-01,BoxBrasil,Packaging,Corrugated,Sao Paulo,BOX-014,2043,2.78,5679.54,BRL,No Contract,30
2025-03-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-008,789,2.98,2351.22,BRL,Expired,45
2025-03-01,BoxBrasil,Packaging,Corrugated,Sao Paulo,BOX-012,411,4.32,1775.52,BRL,Active,60
2025-03-01,SulCaixas,Packaging,Corrugated,Campinas,BOX-012,2078,4.89,10161.42,BRL,Active,45
2025-03-01,SulCaixas,Packaging,Corrugated,Sao Paulo,BOX-011,2199,4.42,9719.58,BRL,Active,45
2025-03-01,PrimePack,Packaging,Corrugated,Sao Paulo,BOX-006,1919,4.64,8904.16,BRL,Active,60
2025-03-01,SulCaixas,Packaging,Corrugated,Curitiba,BOX-005,2614,4.5,11763.0,BRL,Active,60
2025-03-01,LocalFlex,Packaging,Corrugated,Curitiba,BOX-016,720,3.97,2858.4,BRL,Active,60
2025-03-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-017,206,3.75,772.5,BRL,Active,30
2025-03-01,AlphaBox,Packaging,Corrugated,Curitiba,BOX-004,531,4.64,2463.84,BRL,Active,60
2025-03-01,EcoPack,Packaging,Corrugated,Curitiba,BOX-009,1717,3.65,6267.05,BRL,Active,60
2025-03-01,CorrugaMax,Packaging,Corrugated,Campinas,BOX-017,2812,4.19,11782.28,BRL,No Contract,90
2025-03-01,BoxBrasil,Packaging,Corrugated,Sao Paulo,BOX-020,2849,4.83,13760.67,BRL,Active,60
2025-03-01,SulCaixas,Packaging,Corrugated,Campinas,BOX-010,522,4.15,2166.3,BRL,Active,60
2025-03-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-019,2984,4.52,13487.68,BRL,Active,60
2025-03-01,EcoPack,Packaging,Corrugated,Joinville,BOX-017,2553,4.43,11309.79,BRL,Active,45
2025-03-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-019,216,4.65,1004.4,BRL,Active,60
2025-03-01,PackCo A,Packaging,Corrugated,Campinas,BOX-018,1246,4.36,5432.56,BRL,Active,30
2025-03-01,CorrugaMax,Packaging,Corrugated,Campinas,BOX-015,2033,3.3,6708.9,BRL,Active,60
2025-03-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-004,2717,4.18,11357.06,BRL,Active,30
2025-03-01,PrimePack,Packaging,Corrugated,Joinville,BOX-015,2552,3.29,8396.08,BRL,Expired,90
2025-03-01,PrimePack,Packaging,Corrugated,Joinville,BOX-002,797,3.62,2885.14,BRL,No Contract,30
2025-03-01,EcoPack,Packaging,Corrugated,Campinas,BOX-007,2167,3.17,6869.39,BRL,Active,30
2025-03-01,EcoPack,Packaging,Corrugated,Joinville,BOX-001,1220,3.67,4477.4,BRL,Active,60
2025-03-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-002,2278,3.53,8041.34,BRL,Active,60
2025-03-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-014,2301,2.73,6281.73,BRL,Active,90
2025-03-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-001,1700,2.93,4981.0,BRL,Active,90
2025-03-01,BoxBrasil,Packaging,Corrugated,Sao Paulo,BOX-016,941,3.41,3208.81,BRL,Expired,90
2025-03-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-006,672,5.05,3393.6,BRL,Active,30
2025-03-01,CorrugaMax,Packaging,Corrugated,Sao Paulo,BOX-007,2198,2.76,6066.48,BRL,Active,60
2025-03-01,EcoPack,Packaging,Corrugated,Sao Paulo,BOX-002,1910,3.71,7086.1,BRL,Active,60
2025-03-01,LocalFlex,Packaging,Corrugated,Joinville,BOX-016,1545,4.29,6628.05,BRL,Active,30
2025-03-01,CorrugaMax,Packaging,Corrugated,Joinville,BOX-015,1686,3.35,5648.1,BRL,Active,90
2025-03-01,CorrugaMax,Packaging,Corrugated,Sao Paulo,BOX-006,2575,5.09,13106.75,BRL,Expired,45
2025-03-01,EcoPack,Packaging,Corrugated,Campinas,BOX-013,2513,5.46,13720.98,BRL,Active,60
2025-03-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-018,886,3.79,3357.94,BRL,Expired,30
2025-03-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-020,326,5.11,1665.86,BRL,No Contract,45
2025-04-01,PackCo A,Packaging,Corrugated,Joinville,BOX-010,875,4.13,3613.75,BRL,Active,30
2025-04-01,LocalFlex,Packaging,Corrugated,Campinas,BOX-001,1394,3.86,5380.84,BRL,Expired,30
2025-04-01,BoxBrasil,Packaging,Corrugated,Sao Paulo,BOX-017,1562,3.72,5810.64,BRL,Active,60
2025-04-01,LocalFlex,Packaging,Corrugated,Campinas,BOX-010,2407,4.69,11288.83,BRL,Active,30
2025-04-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-011,1088,4.3,4678.4,BRL,Active,45
2025-04-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-004,1025,3.87,3966.75,BRL,Active,60
2025-04-01,PrimePack,Packaging,Corrugated,Campinas,BOX-006,2011,5.04,10135.44,BRL,Active,60
2025-04-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-016,2798,3.4,9513.2,BRL,Active,90
2025-04-01,SulCaixas,Packaging,Corrugated,Sao Paulo,BOX-005,1271,4.7,5973.7,BRL,Active,60
2025-04-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-006,2872,4.86,13957.92,BRL,Active,30
2025-04-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-011,222,4.04,896.88,BRL,Expired,30
2025-04-01,CorrugaMax,Packaging,Corrugated,Joinville,BOX-019,738,5.17,3815.46,BRL,Active,45
2025-04-01,AlphaBox,Packaging,Corrugated,Sao Paulo,BOX-005,1153,5.09,5868.77,BRL,Expired,60
2025-04-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-011,603,4.14,2496.42,BRL,Expired,30
2025-04-01,EcoPack,Packaging,Corrugated,Campinas,BOX-002,2690,3.89,10464.1,BRL,No Contract,60
2025-04-01,PackCo A,Packaging,Corrugated,Joinville,BOX-001,1469,3.23,4744.87,BRL,No Contract,30
2025-04-01,EcoPack,Packaging,Corrugated,Sao Paulo,BOX-004,1588,4.57,7257.16,BRL,No Contract,30
2025-04-01,AlphaBox,Packaging,Corrugated,Sao Paulo,BOX-002,1950,3.91,7624.5,BRL,Active,60
2025-04-01,PackCo A,Packaging,Corrugated,Joinville,BOX-002,2039,3.8,7748.2,BRL,Active,30
2025-04-01,CorrugaMax,Packaging,Corrugated,Curitiba,BOX-019,1123,4.67,5244.41,BRL,Active,45
2025-04-01,AlphaBox,Packaging,Corrugated,Sao Paulo,BOX-008,2878,3.53,10159.34,BRL,Active,60
2025-04-01,PackCo A,Packaging,Corrugated,Sao Paulo,BOX-017,1753,3.92,6871.76,BRL,Active,90
2025-04-01,PackCo A,Packaging,Corrugated,Sao Paulo,BOX-011,2837,4.28,12142.36,BRL,No Contract,45
2025-04-01,EcoPack,Packaging,Corrugated,Joinville,BOX-019,1272,5.14,6538.08,BRL,Active,60
2025-04-01,PrimePack,Packaging,Corrugated,Sao Paulo,BOX-002,2109,3.35,7065.15,BRL,Active,90
2025-04-01,LocalFlex,Packaging,Corrugated,Curitiba,BOX-004,1385,4.83,6689.55,BRL,No Contract,45
2025-04-01,SulCaixas,Packaging,Corrugated,Curitiba,BOX-018,2536,4.31,10930.16,BRL,No Contract,60
2025-04-01,CorrugaMax,Packaging,Corrugated,Campinas,BOX-015,994,3.36,3339.84,BRL,Expired,45
2025-04-01,LocalFlex,Packaging,Corrugated,Sao Paulo,BOX-010,811,4.34,3519.74,BRL,No Contract,45
2025-04-01,CorrugaMax,Packaging,Corrugated,Sao Paulo,BOX-001,2714,3.3,8956.2,BRL,Active,60
2025-04-01,EcoPack,Packaging,Corrugated,Campinas,BOX-017,1517,4.42,6705.14,BRL,No Contract,60
2025-04-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-003,977,3.81,3722.37,BRL,Active,30
2025-04-01,PackCo A,Packaging,Corrugated,Joinville,BOX-007,2637,2.89,7620.93,BRL,Active,30
2025-04-01,PackCo A,Packaging,Corrugated,Joinville,BOX-007,2703,2.93,7919.79,BRL,Expired,30
2025-04-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-019,2896,4.55,13176.8,BRL,Active,60
2025-04-01,AlphaBox,Packaging,Corrugated,Joinville,BOX-018,1082,4.97,5377.54,BRL,Active,30
2025-04-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-019,555,4.73,2625.15,BRL,Active,45
2025-05-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-001,1633,3.15,5143.95,BRL,No Contract,30
2025-05-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-012,2046,4.46,9125.16,BRL,Expired,60
2025-05-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-001,1056,3.16,3336.96,BRL,Expired,60
2025-05-01,LocalFlex,Packaging,Corrugated,Joinville,BOX-006,242,5.72,1384.24,BRL,Expired,60
2025-05-01,SulCaixas,Packaging,Corrugated,Joinville,BOX-007,2529,3.06,7738.74,BRL,Active,45
2025-05-01,SulCaixas,Packaging,Corrugated,Curitiba,BOX-017,1182,3.8,4491.6,BRL,No Contract,30
2025-05-01,CorrugaMax,Packaging,Corrugated,Campinas,BOX-005,2561,4.98,12753.78,BRL,No Contract,60
2025-05-01,EcoPack,Packaging,Corrugated,Curitiba,BOX-018,1490,4.43,6600.7,BRL,Active,60
2025-05-01,AlphaBox,Packaging,Corrugated,Curitiba,BOX-003,1329,4.16,5528.64,BRL,Active,30
2025-05-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-001,1751,3.09,5410.59,BRL,Active,60
2025-05-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-011,1829,3.97,7261.13,BRL,No Contract,45
2025-05-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-018,2247,4.14,9302.58,BRL,Active,30
2025-05-01,CorrugaMax,Packaging,Corrugated,Curitiba,BOX-015,705,3.08,2171.4,BRL,Active,60
2025-05-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-004,1500,4.4,6600.0,BRL,Active,90
2025-05-01,PackCo A,Packaging,Corrugated,Joinville,BOX-007,1841,3.04,5596.64,BRL,Expired,60
2025-05-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-004,2060,4.18,8610.8,BRL,Active,30
2025-05-01,AlphaBox,Packaging,Corrugated,Curitiba,BOX-008,947,3.33,3153.51,BRL,No Contract,30
2025-05-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-020,2781,4.89,13599.09,BRL,Active,60
2025-05-01,PackCo A,Packaging,Corrugated,Joinville,BOX-020,1130,5.23,5909.9,BRL,Active,45
2025-05-01,CorrugaMax,Packaging,Corrugated,Joinville,BOX-006,2836,5.25,14889.0,BRL,Expired,90
2025-05-01,BoxBrasil,Packaging,Corrugated,Campinas,BOX-014,608,2.82,1714.56,BRL,Active,45
2025-05-01,AlphaBox,Packaging,Corrugated,Joinville,BOX-007,1112,3.28,3647.36,BRL,Active,90
2025-05-01,PackCo A,Packaging,Corrugated,Sao Paulo,BOX-018,1034,4.2,4342.8,BRL,Active,45
2025-05-01,SulCaixas,Packaging,Corrugated,Curitiba,BOX-017,449,3.97,1782.53,BRL,Active,60
2025-05-01,PackCo A,Packaging,Corrugated,Sao Paulo,BOX-008,1533,3.15,4828.95,BRL,Active,45
2025-05-01,EcoPack,Packaging,Corrugated,Joinville,BOX-014,267,3.09,825.03,BRL,Active,45
2025-05-01,AlphaBox,Packaging,Corrugated,Curitiba,BOX-006,1338,5.56,7439.28,BRL,Active,60
2025-05-01,SulCaixas,Packaging,Corrugated,Campinas,BOX-017,568,4.04,2294.72,BRL,Active,60
2025-05-01,PackCo A,Packaging,Corrugated,Sao Paulo,BOX-017,1207,3.87,4671.09,BRL,Active,60
2025-05-01,PackCo A,Packaging,Corrugated,Campinas,BOX-010,1585,3.94,6244.9,BRL,Expired,30
2025-05-01,PackCo A,Packaging,Corrugated,Sao Paulo,BOX-007,2258,2.69,6074.02,BRL,No Contract,45
2025-05-01,PackCo A,Packaging,Corrugated,Campinas,BOX-006,2529,5.3,13403.7,BRL,Active,45
2025-05-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-012,1176,4.17,4903.92,BRL,Active,60
2025-05-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-013,1199,4.89,5863.11,BRL,Active,90
2025-05-01,BoxBrasil,Packaging,Corrugated,Sao Paulo,BOX-006,662,4.66,3084.92,BRL,Active,90
2025-05-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-001,888,3.22,2859.36,BRL,Active,60
2025-05-01,CorrugaMax,Packaging,Corrugated,Campinas,BOX-016,2599,3.76,9772.24,BRL,Active,30
2025-05-01,EcoPack,Packaging,Corrugated,Campinas,BOX-007,1402,3.2,4486.4,BRL,Active,45
2025-05-01,BoxBrasil,Packaging,Corrugated,Sao Paulo,BOX-013,1568,4.73,7416.64,BRL,Active,60
2025-05-01,CorrugaMax,Packaging,Corrugated,Campinas,BOX-007,494,3.19,1575.86,BRL,No Contract,60
2025-05-01,CorrugaMax,Packaging,Corrugated,Campinas,BOX-008,2561,3.51,8989.11,BRL,Active,45
2025-05-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-018,2628,4.38,11510.64,BRL,No Contract,45
2025-06-01,PackCo A,Packaging,Corrugated,Campinas,BOX-014,1361,2.76,3756.36,BRL,Expired,90
2025-06-01,PackCo A,Packaging,Corrugated,Curitiba,BOX-005,734,4.51,3310.34,BRL,Expired,45
2025-06-01,SulCaixas,Packaging,Corrugated,Campinas,BOX-009,2801,3.72,10419.72,BRL,Expired,60
2025-06-01,LocalFlex,Packaging,Corrugated,Sao Paulo,BOX-003,1434,4.54,6510.36,BRL,Active,30
2025-06-01,EcoPack,Packaging,Corrugated,Campinas,BOX-015,756,3.49,2638.44,BRL,Active,30
2025-06-01,BoxBrasil,Packaging,Corrugated,Joinville,BOX-020,323,4.88,1576.24,BRL,No Contract,45
2025-06-01,EcoPack,Packaging,Corrugated,Curitiba,BOX-010,1061,4.1,4350.1,BRL,Active,30
2025-06-01,PrimePack,Packaging,Corrugated,Joinville,BOX-014,1566,2.83,4431.78,BRL,Expired,60
2025-06-01,EcoPack,Packaging,Corrugated,Joinville,BOX-005,2527,4.86,12281.22,BRL,Active,90
2025-06-01,EcoPack,Packaging,Corrugated,Joinville,BOX-017,1006,4.34,4366.04,BRL,No Contract,30
2025-06-01,BoxBrasil,Packaging,Corrugated,Sao Paulo,BOX-020,1248,4.77,5952.96,BRL,No Contract,45
2025-06-01,PrimePack,Packaging,Corrugated,Campinas,BOX-005,499,4.53,2260.47,BRL,Active,60
2025-06-01,LocalFlex,Packaging,Corrugated,Sao Paulo,BOX-009,583,4.17,2431.11,BRL,Active,45
2025-06-01,PackCo A,Packaging,Corrugated,Campinas,BOX-013,1100,4.79,5269.0,BRL,No Contract,30
2025-06-01,EcoPack,Packaging,Corrugated,Sao Paulo,BOX-020,1725,5.31,9159.75,BRL,Active,60
2025-06-01,PackCo A,Packaging,Corrugated,Joinville,BOX-018,2028,4.43,8984.04,BRL,Active,90
2025-06-01,AlphaBox,Packaging,Corrugated,Joinville,BOX-002,497,4.2,2087.4,BRL,Active,60
2025-06-01,CorrugaMax,Packaging,Corrugated,Sao Paulo,BOX-006,2629,4.91,12908.39,BRL,No Contract,60
2025-06-01,BoxBrasil,Packaging,Corrugated,Curitiba,BOX-004,2493,3.8,9473.4,BRL,Active,45
2025-06-01,EcoPack,Packaging,Corrugated,Campinas,BOX-020,330,5.38,1775.4,BRL,No Contract,30
